id,name,gender,DOB,MaritalStatus,CreditCardType
260,Myra,Female,25/04/1988,FALSE,mastercard
261,Milka,Female,28/01/1958,TRUE,visa
262,Mariann,Female,8/10/1953,FALSE,americanexpress
263,Petronia,Female,30/09/1989,TRUE,jcb
264,Carlee,Female,20/04/1963,FALSE,jcb
265,Domingo,Male,6/07/1983,FALSE,americanexpress
266,Leonelle,Female,25/06/1989,FALSE,maestro
267,Rock,Male,19/08/1970,FALSE,maestro
268,Aili,Female,28/09/1959,FALSE,switch
269,Hodge,Male,31/12/1960,TRUE,jcb
270,Adoree,Female,6/11/1960,FALSE,jcb
271,Karlotte,Female,19/02/1997,TRUE,jcb
272,Celie,Female,23/10/1950,TRUE,jcb
273,Walliw,Female,21/07/1996,TRUE,jcb
274,Tucky,Male,14/02/1966,TRUE,jcb
275,Erroll,Male,9/11/1951,FALSE,jcb
276,Sabra,Female,29/01/1974,FALSE,jcb
277,Vinnie,Male,6/08/1978,FALSE,switch
278,Janaya,Female,7/03/1968,FALSE,diners-club-enroute
279,Avie,Female,12/06/1992,TRUE,switch
280,Brigida,Female,23/12/1976,TRUE,jcb
281,Coraline,Female,17/05/1959,FALSE,kiwibank-card
282,Mahala,Female,21/05/1965,FALSE,mastercard
283,Layton,Male,3/12/1995,TRUE,visa-electron
284,Ruperta,Female,22/02/1985,FALSE,jcb
285,Tobit,Male,20/08/1974,FALSE,jcb
286,Dallas,Female,2/10/1985,TRUE,maestro
287,Tasia,Female,8/04/1976,FALSE,jcb
288,Quint,Male,6/07/1981,FALSE,solo
289,Nadiya,Female,23/12/1954,FALSE,jcb
290,Brocky,Male,13/12/1997,FALSE,jcb
291,Cyrillus,Male,13/09/1996,TRUE,kiwibank-card
292,Clywd,Male,9/08/1961,TRUE,china-unionpay
293,Mel,Female,3/02/1987,FALSE,jcb
294,Vincents,Male,16/12/1982,FALSE,kiwibank-card
295,Conway,Male,17/06/1954,FALSE,jcb
296,Mureil,Female,4/09/1996,FALSE,kiwibank-card
297,Imogene,Female,26/05/1970,FALSE,switch
298,Baird,Male,16/09/1960,FALSE,mastercard
299,Kort,Male,25/12/1972,TRUE,jcb
300,Wilow,Female,16/12/1985,FALSE,jcb
301,Randy,Female,6/07/1993,FALSE,jcb
302,Laurent,Male,23/12/1967,TRUE,mastercard
303,Cathlene,Female,31/08/1988,TRUE,mastercard
304,Lilia,Female,1/12/1995,TRUE,visa-electron
305,Beau,Male,17/06/1966,TRUE,jcb
306,Wheeler,Male,8/05/1960,TRUE,diners-club-enroute
307,Claresta,Female,2/07/1989,TRUE,china-unionpay
308,Gonzales,Male,7/11/1981,TRUE,jcb
309,Tobi,Female,8/05/1988,TRUE,jcb
310,Billi,Female,14/12/1955,FALSE,diners-club-carte-blanche
311,Normy,Male,12/08/2000,FALSE,visa-electron
312,Dolores,Female,22/10/1986,TRUE,americanexpress
313,Malachi,Male,10/02/1967,FALSE,mastercard
314,Giraud,Male,8/07/1994,FALSE,kiwibank-card
315,Cyrille,Male,30/08/1993,FALSE,maestro
316,Sissie,Female,8/10/1950,TRUE,jcb
317,Shaylynn,Female,4/12/1986,TRUE,jcb
318,Jobey,Female,6/12/1980,TRUE,instapayment
319,Guillemette,Female,7/10/1994,TRUE,kiwibank-card
320,Benedick,Male,7/11/1987,TRUE,switch
321,Eugenie,Female,23/08/1977,FALSE,jcb
322,Kimberli,Female,22/10/1994,TRUE,kiwibank-card
323,Elisha,Female,12/11/1974,TRUE,maestro
324,Blinny,Female,27/09/1966,TRUE,maestro
325,Mickey,Male,15/01/1993,FALSE,mastercard
326,Tish,Female,28/05/1980,TRUE,jcb
327,Ryley,Male,9/01/1997,TRUE,jcb
328,Faber,Male,21/08/1966,FALSE,jcb
329,Nalani,Female,31/05/1976,TRUE,maestro
330,Maitilde,Female,1/02/1965,TRUE,visa
331,Jessi,Female,1/11/1981,TRUE,jcb
332,Leelah,Female,7/01/1970,FALSE,switch
333,Lona,Female,12/11/1966,TRUE,jcb
334,Ban,Male,3/07/1972,TRUE,visa-electron
335,Jerad,Male,13/06/1981,FALSE,jcb
336,Rolph,Male,15/11/1972,FALSE,jcb
337,Any,Male,16/02/1981,TRUE,americanexpress
338,Herminia,Female,23/04/1954,TRUE,jcb
339,Doralynn,Female,25/10/1963,TRUE,jcb
340,Kirstyn,Female,14/05/1998,FALSE,kiwibank-card
341,Ernestine,Female,15/08/1967,TRUE,jcb
342,Hermie,Male,2/09/1961,TRUE,laser
343,Marci,Female,15/11/1961,TRUE,americanexpress
344,Andrey,Male,26/07/1967,TRUE,jcb
345,Felecia,Female,15/11/1973,TRUE,china-unionpay
346,Henri,Male,4/03/1988,FALSE,jcb
347,Mart,Male,17/04/1951,TRUE,mastercard
348,Jacklyn,Female,5/12/1984,TRUE,jcb
349,Job,Male,17/09/1982,TRUE,jcb
350,Kendricks,Male,4/08/1982,FALSE,visa-electron
351,Kean,Male,8/11/1963,TRUE,jcb
352,Caralie,Female,29/06/1961,FALSE,bankcard
353,Allyn,Male,21/08/1966,FALSE,laser
354,Ban,Male,17/10/1979,FALSE,diners-club-carte-blanche
355,Booth,Male,2/03/1983,TRUE,kiwibank-card
356,Oona,Female,25/06/1992,FALSE,kiwibank-card
357,Orion,Male,6/03/1961,TRUE,china-unionpay
358,Maureene,Female,12/10/1999,FALSE,jcb
359,Shandie,Female,12/08/1961,TRUE,americanexpress
360,Enrico,Male,12/09/1961,TRUE,jcb
361,Janet,Female,18/08/1972,FALSE,jcb
362,Casie,Female,22/05/1967,FALSE,kiwibank-card
363,Herschel,Male,25/08/1980,FALSE,bankcard
364,Vivi,Female,12/08/1992,TRUE,diners-club-carte-blanche
365,Tanney,Male,7/11/1989,TRUE,kiwibank-card
366,Magda,Female,31/07/1970,FALSE,diners-club-enroute
367,Thorin,Male,19/02/1959,TRUE,visa-electron
368,Neill,Male,4/04/1959,FALSE,jcb
369,Carola,Female,31/05/1954,FALSE,mastercard
370,Gage,Male,21/08/1980,FALSE,maestro
371,Pearce,Male,12/04/1991,TRUE,bankcard
372,Paxon,Male,18/02/1986,TRUE,laser
373,Erin,Female,11/01/1980,TRUE,jcb
374,Julienne,Female,13/04/1961,FALSE,kiwibank-card
375,Kesley,Female,2/11/1985,FALSE,mastercard
376,Emile,Male,11/03/1972,FALSE,jcb
377,Tommi,Female,31/05/1988,FALSE,diners-club-enroute
378,Christophe,Male,21/11/2000,TRUE,jcb
379,Cordi,Female,20/04/1964,FALSE,laser
380,Cleavland,Male,12/10/1975,TRUE,jcb
381,Basilio,Male,21/06/1960,TRUE,laser
382,Bert,Male,2/02/1979,FALSE,instapayment
383,Elroy,Male,21/03/1965,FALSE,jcb
384,Guido,Male,30/03/1978,FALSE,jcb
385,Bjorn,Male,20/09/1965,FALSE,kiwibank-card
386,Bennett,Male,10/08/1986,FALSE,diners-club-carte-blanche
387,Willem,Male,26/02/1988,TRUE,jcb
388,Elwin,Male,16/09/1991,TRUE,jcb
389,Leena,Female,4/11/1991,TRUE,mastercard
390,Harlen,Male,5/09/1955,TRUE,americanexpress
391,Dora,Female,8/04/1977,TRUE,diners-club-enroute
392,Lek,Male,29/05/1992,FALSE,jcb
393,Prisca,Female,12/03/1969,TRUE,jcb
394,Burk,Male,19/08/1954,FALSE,visa-electron
395,Del,Male,8/04/1998,TRUE,jcb
396,Early,Male,18/02/1996,FALSE,jcb
397,Wat,Male,21/08/1987,FALSE,laser
398,Danica,Female,14/12/1984,FALSE,maestro
399,Maryl,Female,30/03/1987,FALSE,diners-club-carte-blanche
400,Riccardo,Male,20/12/1963,TRUE,bankcard
401,Joe,Male,11/01/1983,FALSE,jcb
402,Arline,Female,20/02/1959,FALSE,diners-club-international
403,Franciska,Female,1/12/1977,TRUE,americanexpress
404,Fergus,Male,23/02/1999,FALSE,china-unionpay
405,Durand,Male,3/10/1976,TRUE,jcb
406,Anthe,Female,4/07/1991,TRUE,jcb
407,Logan,Male,20/01/1997,TRUE,laser
408,Sholom,Male,2/05/1971,TRUE,kiwibank-card
409,Craig,Male,16/10/1993,FALSE,maestro
410,Guntar,Male,11/05/1999,FALSE,maestro
411,Ellette,Female,19/01/1950,TRUE,jcb
412,Teirtza,Female,26/03/1959,FALSE,jcb
413,Urbano,Male,4/10/1983,TRUE,jcb
414,Christopher,Male,20/03/1956,FALSE,americanexpress
415,Mirilla,Female,12/12/1967,TRUE,mastercard
416,Jodie,Female,4/06/1990,TRUE,bankcard
417,Inglebert,Male,17/04/1959,FALSE,kiwibank-card
418,Elly,Female,9/01/1999,TRUE,bankcard
419,Nerta,Female,2/02/1956,FALSE,mastercard
420,Sherye,Female,29/05/1964,TRUE,kiwibank-card
421,Janeta,Female,15/11/1983,FALSE,bankcard
422,Letta,Female,3/01/1950,TRUE,jcb
423,Nikki,Male,8/10/1958,FALSE,jcb
424,Melloney,Female,12/08/1991,TRUE,jcb
425,Nikki,Female,25/12/1988,FALSE,jcb
426,Clayborne,Male,16/11/1987,TRUE,jcb
427,Geraldine,Female,4/11/1966,TRUE,solo
428,Bobbe,Female,14/05/1987,TRUE,jcb
429,Moyra,Female,11/03/1973,FALSE,diners-club-us-ca
430,Dorette,Female,2/11/1968,TRUE,kiwibank-card
431,Whitby,Male,1/06/1963,FALSE,jcb
432,Johnathon,Male,6/02/1982,TRUE,kiwibank-card
433,Niel,Male,1/03/1978,TRUE,visa
434,Saul,Male,24/05/1981,TRUE,maestro
435,Sylvia,Female,14/04/1970,FALSE,jcb
436,Cris,Female,6/01/1952,TRUE,americanexpress
437,Sibilla,Female,10/07/2000,TRUE,mastercard
438,Gretta,Female,18/08/1978,FALSE,diners-club-enroute
439,Sky,Male,9/11/1953,FALSE,jcb
440,Darlleen,Female,5/11/1958,TRUE,kiwibank-card
441,Bald,Male,21/05/1952,FALSE,maestro
442,Hartley,Male,13/02/1995,TRUE,jcb
443,Steward,Male,25/10/1988,TRUE,jcb
444,Stephannie,Female,11/09/1997,TRUE,switch
445,Radcliffe,Male,8/04/1973,TRUE,jcb
446,Garald,Male,24/11/1961,TRUE,jcb
447,Lucky,Female,1/06/1963,TRUE,jcb
448,Nana,Female,12/06/1996,TRUE,jcb
449,Thedrick,Male,19/11/1960,TRUE,jcb
450,Lizzy,Female,4/08/1971,TRUE,jcb
451,Keir,Male,4/06/1992,TRUE,jcb
452,Rafa,Female,2/01/1969,FALSE,jcb
453,Ronnica,Female,21/05/1957,FALSE,kiwibank-card
454,Alastair,Male,27/04/1988,TRUE,switch
455,Guthrey,Male,22/09/1963,FALSE,diners-club-carte-blanche
456,Ermentrude,Female,16/12/1986,FALSE,bankcard
457,Gwyn,Female,19/12/1950,TRUE,china-unionpay
458,Broddie,Male,3/08/1962,FALSE,mastercard
459,Giulietta,Female,7/09/1991,TRUE,china-unionpay
460,Luciano,Male,8/05/1966,FALSE,switch
461,Olly,Female,26/12/1987,TRUE,solo
462,Erin,Female,2/06/1994,FALSE,visa-electron
463,Clair,Female,24/11/1973,TRUE,switch
464,Hube,Male,12/09/1983,FALSE,mastercard
465,Cart,Male,21/05/1964,FALSE,jcb
466,Isiahi,Male,6/01/1958,TRUE,visa-electron
467,Bearnard,Male,30/03/1987,TRUE,kiwibank-card
468,Samuel,Male,11/03/1956,TRUE,mastercard
469,Maynard,Male,12/08/1957,TRUE,bankcard
470,Ashlen,Female,26/02/1994,TRUE,visa-electron
471,Kelsi,Female,27/05/1978,FALSE,china-unionpay
472,Modesty,Female,1/04/1962,FALSE,jcb
473,Sharai,Female,18/06/1969,TRUE,switch
474,Laurent,Male,20/08/1993,FALSE,jcb
475,Ole,Male,21/05/1964,TRUE,americanexpress
476,Harley,Male,7/05/1986,TRUE,bankcard
477,Barbabas,Male,29/01/1975,FALSE,americanexpress
478,Carter,Male,15/08/1997,TRUE,maestro
479,Bennie,Female,17/04/1996,TRUE,diners-club-enroute
480,Barth,Male,16/06/1953,FALSE,jcb
481,Jeannine,Female,27/07/1982,FALSE,mastercard
482,Nickolaus,Male,21/11/1980,FALSE,visa-electron
483,Cherye,Female,28/11/1953,FALSE,jcb
484,Michaela,Female,12/12/1974,FALSE,maestro
485,Abner,Male,17/10/1993,TRUE,diners-club-us-ca
486,Shanie,Female,20/05/1989,FALSE,bankcard
487,Elise,Female,21/01/1989,FALSE,diners-club-carte-blanche
488,Mill,Male,29/03/1969,FALSE,switch
489,Margaretha,Female,17/05/1978,TRUE,kiwibank-card
490,Michele,Female,8/10/1956,FALSE,jcb
491,Diannne,Female,6/02/1959,TRUE,solo
492,Rena,Female,5/06/1954,TRUE,jcb
493,Catha,Female,4/07/1973,TRUE,kiwibank-card
494,Reinaldos,Male,20/10/1961,TRUE,instapayment
495,Kurtis,Male,26/09/1961,FALSE,visa
496,Reiko,Female,17/09/1972,TRUE,mastercard
497,Brittni,Female,16/09/1995,TRUE,jcb
498,Steven,Male,10/05/1992,TRUE,jcb
499,Manny,Male,5/10/1974,TRUE,diners-club-carte-blanche
500,Sherlocke,Male,1/06/1987,TRUE,bankcard
501,Elisa,Female,23/11/1956,TRUE,visa-electron
502,Myrtice,Female,5/02/1950,TRUE,maestro
503,Gail,Female,12/11/1964,FALSE,mastercard
504,Wilek,Male,26/09/1952,TRUE,visa-electron
505,Salim,Male,10/05/1998,FALSE,mastercard
506,Carry,Female,2/11/1986,FALSE,diners-club-enroute
507,Sadie,Female,22/08/1988,FALSE,mastercard
508,Gaylor,Male,11/06/1983,FALSE,jcb
509,Akim,Male,9/10/1978,FALSE,jcb
510,Gabrila,Female,24/03/1962,FALSE,mastercard
511,Dorisa,Female,5/08/1961,TRUE,bankcard
